149	129
149	133
129	109
133	129
133	133
141	157
141	141
157	157
157	169
169	169
169	161
161	169
169	169
169	169
169	161
169	169
169	161
169	169
145	145
145	145
145	145
145	137
145	145
145	137
145	145
145	145
169	169
169	169
169	169
169	169
169	169
169	169
169	161
161	161
153	145
153	145
161	169
169	165
165	157
157	157
157	165
165	169
169	161
161	153
153	145
145	137
137	129
129	121
121	113
121	129
121	113
129	137
137	145
145	153
153	161
161	169
169	169
169	161
161	153
153	145
145	137
137	129
129	121
121	113
113	97
113	99
113	105
105	97
99	99
99	97
97	89
89	89
89	97
97	109
109	109
109	97
97	89
89	81
81	73
73	65
65	57
57	57
57	49
49	41
41	45
45	41
41	49
49	57
57	65
65	63
73	81
73	73
81	83
83	83
73	73
63	63
51	43
51	51
43	35
35	27
27	25
25	25
25	25
25	17
17	17
17	17
17	11
11	9
9	17
17	25
25	33
33	41
41	41
41	41
41	49
49	49
49	51
49	57
57	65
65	73
63	73
73	81
81	89
83	89
97	105
97	89
105	113
113	121
121	129
129	137
137	145
145	145
145	145
137	137
137	125
137	137
137	137
137	125
125	125
117	109
117	117
109	109
101	93
101	101
93	85
85	81
85	77
85	93
77	77
69	61
69	69
61	53
53	45
53	61
53	45
61	69
77	81
85	81
85	65
85	93
85	77
93	101
109	117
109	101
125	117
89	81
81	73
73	65
65	57
49	41
49	57
41	33
33	25
25	17
17	9
9	9
9	9
9	21
21	25
25	25
25	25
25	41
41	49
69	61
69	61
77	81
65	61
61	53
53	45
45	37
37	29
29	21
21	21
21	9
9	9
9	9
9	9
9	9
9	25
25	29
21	21
21	29
21	29
29	37
37	45
37	37
45	41
41	49
49	57
57	65
65	73
73	69
69	77
77	85
77	69
77	85
69	61
61	61
61	53
53	53
53	45
45	45
45	37
37	37
37	29
29	29
29	21
21	21
21	21
21	29
29	37
37	45
45	53
53	61
61	69
69	77
77	85
77	69
77	85
69	61
61	53
53	53
53	61
61	69
69	77
77	85
85	93
93	101
101	109
109	109
101	93
101	97
93	85
97	93
109	101
109	125
101	101
93	85
85	93
85	93
93	93
101	101
101	109
109	117
117	125
125	125
125	117
117	109
109	101
101	93
93	93
101	109
117	125
145	145
145	145
145	145
145	145
145	145
145	141
125	129
